Afghanistan,Asia,Kabul
Albania,Europe,Tirana
Algeria,Africa,Algiers
Andorra,Europe,Andorra la Vella
Angola,Africa,Luanda
Antigua and Barbuda,North America,Saint John's
Argentina,South America,Buenos Aires
Armenia,Asia,Yerevan
Australia,Oceania,Canberra
Austria,Europe,Vienna
Azerbaijan,Asia,Baku
Bahamas,North America,Nassau
Bahrain,Asia,Manama
Bangladesh,Asia,Dhaka
Barbados,North America,Bridgetown
Belarus,Europe,Minsk
Belgium,Europe,Brussels
Belize,North America,Belmopan
Benin,Africa,Porto-Novo
Bhutan,Asia,Thimphu
Bolivia,South America,La Paz
Bosnia and Herzegovina,Europe,Sarajevo
Botswana,Africa,Gaborone
Brazil,South America,Brasilia
Brunei,Asia,Bandar Seri Begawan
Bulgaria,Europe,Sofia
Burkina Faso,Africa,Ouagadougou
Burundi,Africa,Gitega
Cambodia,Asia,Phnom Penh
Cameroon,Africa,Yaounde
Canada,North America,Ottawa
Cabo Verde,Africa,Praia
Central African Republic,Africa,Bangui
Chad,Africa,N'djamena
Chile,South America,Santiago
China,Asia,Beijing
Colombia,South America,Bogota
Comoros,Africa,Moroni
Costa Rica,North America,San Jose
Ivory Coast,Africa,Yamoussoukro
Croatia,Europe,Zagreb
Cuba,North America,Havana
Cyprus,Europe,Nicosia
Czechia,Europe,Prague
Democratic Republic of the Congo,Africa,Kinshasa
Denmark,Europe,Copenhagen
Djibouti,Africa,Djibouti
Dominica,North America,Roseau
Dominican Republic,North America,Santo Domingo
Ecuador,South America,Quito
Egypt,Africa,Cairo
El Salvador,North America,San Salvador
Equatorial Guinea,Africa,Malabo
Eritrea,Africa,Asmara
Estonia,Europe,Tallinn
Ethiopia,Africa,Addis Ababa
Fiji,Oceania,Suva
Finland,Europe,Helsinki
France,Europe,Paris
Gabon,Africa,Libreville
Gambia,Africa,Banjul
Georgia,Asia,Tbilisi
Germany,Europe,Berlin
Ghana,Africa,Accra
Greece,Europe,Athens
Grenada,North America,Saint George’s
Guatemala,North America,Guatemala City
Guinea,Africa,Conakry
Guinea-Bissau,Africa,Bissau
Guyana,South America,Georgetown
Haiti,North America,Port au Prince
Honduras,North America,Tegucigalpa
Hungary,Europe,Budapest
Iceland,Europe,Reykjavík
India,Asia,New Delhi
Indonesia,Asia,Jakarta
Iran,Asia,Tehran
Iraq,Asia,Baghdad
Ireland,Europe,Dublin
Israel,Asia,Jerusalem
Italy,Europe,Rome
Jamaica,North America,Kingston
Japan,Asia,Tokyo
Jordan,Asia,Amman
Kazakhstan,Asia,Astana
Kenya,Africa,Nairobi
Kiribati,Africa,Tarawa
Kosovo,Europe,Pristina
Kuwait,Asia,Kuwait
Kyrgyzstan,Asia,Bishkek
Laos,Asia,Vientiane
Latvia,Europe,Riga
Lebanon,Asia,Beirut
Lesotho,Africa,Maseru
Liberia,Africa,Monrovia
Libya,Africa,Tripoli
Liechtenstein,Europe,Vaduz
Lithuania,Europe,Vilnius
Luxembourg,Europe,Luxembourg
Macedonia,Europe,Skopje
Madagascar,Africa,Antananarivo
Malawi,Africa,Lilongwe
Malaysia,Asia,Kuala Lumpur
Maldives,Africa,Male
Mali,Africa,Bamako
Malta,Europe,Valletta
Marshall Islands,Oceania,Majuro
Mauritania,Africa,Nouakchott
Mauritius,Africa,Port Louis
Mexico,North America,Mexico City
Micronesia,Oceania,Palikir
Moldova,Europe,Chisinau
Monaco,Europe,Monaco
Mongolia,Asia,Ulaanbaatar
Montenegro,Europe,Podgorica
Morocco,Africa,Rabat
Mozambique,Africa,Maputo
Myanmar,Asia,Naypyidaw
Namibia,Africa,Windhoek
Nauru,Oceania,Yaren
Nepal,Asia,Kathmandu
Netherlands,Europe,Amsterdam
New Zealand,Oceania,Wellington
Nicaragua,North America,Managua
Niger,Africa,Niamey
Nigeria,Africa,Abuja
North Korea,Asia,Pyongyang
Norway,Europe,Oslo
Oman,Asia,Masqat
Pakistan,Asia,Islamabad
Palau,Oceania,Ngerulmud
Palestine,Asia,Ramallah
Panama,North America,Panama City
Papua New Guinea,Oceania,Port Moresby
Paraguay,South America,Asuncion
Peru,South America,Lima
Philippines,Asia,Manila
Poland,Europe,Warsaw
Portugal,Europe,Lisbon
Qatar,Asia,Doha
Republic of the Congo,Africa,Brazzaville
Romania,Europe,Bucharest
Russia,Asia and Europe,Moscow
Rwanda,Africa,Kigali
Saint Kitts and Nevis,North America,Basseterre
Saint Lucia,North America,Castries
Saint Vincent and the Grenadines,North America,Kingstown
Samoa,Oceania,Apia
San Marino,Europe,San Marino
Sao Tome and Principe,Africa,Sao Tome
Saudi Arabia,Asia,Riyadh
Senegal,Africa,Dakar
Serbia,Europe,Belgrade
Seychelles,Africa,Victoria
Sierra Leone,Africa,Freetown
Singapore,Asia,Singapore
Slovakia,Europe,Bratislava
Slovenia,Europe,Ljubljana
Solomon Islands,Oceania,Honiara
Somalia,Africa,Mogadishu
South Africa,Africa,Pretoria
South Korea,Asia,Seoul
South Sudan,Africa,Juba
Spain,Europe,Madrid
Sri Lanka,Asia,Sri Jayawardenapura-Kotte
Sudan,Africa,Khartoum
Suriname,South America,Paramaribo
Swaziland,Africa,Mbabane
Sweden,Europe,Stockholm
Switzerland,Europe,Bern
Syria,Asia,Damascus
Taiwan,Asia,Taipei
Tajikistan,Asia,Dushanbe
Tanzania,Africa,Dodoma
Thailand,Asia,Bangkok
Timor-Leste,Asia,Dili
Togo,Africa,Lome
Tonga,Oceania,Nuku'alofa
Trinidad and Tobago,North America,Port of Spain
Tunisia,Africa,Tunis
Turkey,Asia and Europe,Ankara
Turkmenistan,Asia,Asgabat
Tuvalu,Oceania,Funafuti
Uganda,Africa,Kampala
Ukraine,Europe,Kiev
United Arab Emirates,Asia,Abu Dhabi
United Kingdom,Europe,London
United States,North America,Washington D.C.
Uruguay,South America,Montevideo
Uzbekistan,Asia,Tashkent
Vanuatu,Oceania,Port Vila
Vatican City,Europe,Vatican City
Venezuela,South America,Caracas
Vietnam,Asia,Hanoi
Yemen,Asia,Sana'a
Zambia,Africa,Lusaka
Zimbabwe,Africa,Harare
