Name,Continent,Capital,Population,Density,Area,Lat,Long
Afghanistan,Asia,Kabul,39074280,60,652860,33.93911,67.709953
Albania,Europe,Tirana,2877239,105,27400,41.153332,20.168331
Algeria,Africa,Algiers,43984569,18,2381740,28.033886,1.659626
Andorra,Europe,Andorra la Vella,77287,164,470,42.546245,1.601554
Angola,Africa,Luanda,33032075,26,1246700,-11.202692,17.873887
Antigua and Barbuda,North America,Saint John's,98069,223,440,17.060816,-61.796428
Argentina,South America,Buenos Aires,45267449,17,2736690,-38.416097,-63.616672
Armenia,Asia,Yerevan,2964219,104,28470,40.069099,45.038189
Australia,Oceania,Canberra,25550683,3,7682300,-25.274398,133.775136
Austria,Europe,Vienna,9015361,109,82409,47.516231,14.550072
Azerbaijan,Asia,Baku,10154978,123,82658,40.143105,47.576927
Bahamas,North America,Nassau,393893,39,10010,25.03428,-77.39628
Bahrain,Asia,Manama,1711057,2239,760,25.930414,50.637772
Bangladesh,Asia,Dhaka,164972348,1265,130170,23.684994,90.356331
Barbados,North America,Bridgetown,287437,668,430,13.193887,-59.543198
Belarus,Europe,Minsk,9448772,47,202910,53.709807,27.953389
Belgium,Europe,Brussels,11598451,383,30280,50.503887,4.469936
Belize,North America,Belmopan,398845,17,22810,17.189877,-88.49765
Benin,Africa,Porto-Novo,12175480,108,112760,9.30769,2.315834
Bhutan,Asia,Thimphu,773069,20,38117,27.514162,90.433601
Bolivia,South America,La Paz,11700207,11,1083300,-16.290154,-63.588653
Bosnia and Herzegovina,Europe,Sarajevo,3277152,64,51000,43.915886,17.679076
Botswana,Africa,Gaborone,2359585,4,566730,-22.328474,24.684866
Brazil,South America,Brasilia,212821986,25,8358140,-14.235004,-51.92528
Brunei,Asia,Bandar Seri Begawan,438202,83,5270,4.535277,114.727669
Bulgaria,Europe,Sofia,6939018,64,108560,42.733883,25.48583
Burkina Faso,Africa,Ouagadougou,20997293,76,273600,12.238333,-1.561593
Burundi,Africa,Gitega,11948454,463,25680,-3.373056,29.918886
Cabo Verde,Africa,Praia,557026,138,4030,16.002082,-24.013197
Cambodia,Asia,Phnom Penh,16758448,95,176520,12.565679,104.990963
Cameroon,Africa,Yaounde,26655083,56,472710,7.369722,12.354722
Canada,North America,Ottawa,37799407,4,9093510,56.130366,-106.346771
Central African Republic,Africa,Bangui,4843954,8,622980,6.611111,20.939444
Chad,Africa,N'djamena,16502877,13,1259200,15.454166,18.732207
Chile,South America,Santiago,19144605,26,743532,-35.675147,-71.542969
China,Asia,Beijing,1440297825,153,9388211,35.86166,104.195397
Colombia,South America,Bogota,50976248,46,1109500,4.570868,-74.297333
Comoros,Africa,Moroni,872695,467,1861,-11.875001,43.872219
Congo,Africa,Brazzaville,5540555,16,341500,-0.228021,15.827659
Costa Rica,North America,San Jose,5102158,100,51060,9.748917,-83.753428
Croatia,Europe,Zagreb,4100719,73,55960,45.1,15.2
Cuba,North America,Havana,11325391,106,106440,21.521757,-77.781167
Cyprus,Europe,Nicosia,1208886,131,9240,35.126413,33.429859
Czechia,Europe,Prague,10712481,139,77240,49.817492,15.472962
Democratic Republic of the Congo,Africa,Kinshasa,90003954,40,2267050,-4.038333,21.758664
Denmark,Europe,Copenhagen,5795780,137,42430,56.26392,9.501785
Djibouti,Africa,Djibouti,990447,43,23180,11.825138,42.590275
Dominica,North America,Roseau,72017,96,750,15.414999,-61.370976
Dominican Republic,North America,Santo Domingo,10866667,225,48320,18.735693,-70.162651
Ecuador,South America,Quito,17688599,71,248360,-1.831239,-78.183406
Egypt,Africa,Cairo,102659126,103,995450,26.820553,30.802498
El Salvador,North America,San Salvador,6491923,313,20720,13.794185,-88.89653
Equatorial Guinea,Africa,Malabo,1410419,50,28050,1.650801,10.267895
Eritrea,Africa,Asmara,3554797,35,101000,15.179384,39.782334
Estonia,Europe,Tallinn,1326693,31,42390,58.595272,25.013607
Eswatini,Africa,Mbabane,1162233,67,17200,-26.522503,31.465866
Ethiopia,Africa,Addis Ababa,115434444,115,1000000,9.145,40.489673
Fiji,Oceania,Suva,897573,49,18270,-16.578193,179.414413
Finland,Europe,Helsinki,5542237,18,303890,61.92411,25.748151
France,Europe,Paris,65298930,119,547557,46.227638,2.213749
Gabon,Africa,Libreville,2234448,9,257670,-0.803689,11.609444
Gambia,Africa,Banjul,2427782,239,10120,13.443182,-15.310139
Georgia,Asia,Tbilisi,3987805,57,69490,42.315407,43.356892
Germany,Europe,Berlin,83830972,240,348560,51.165691,10.451526
Ghana,Africa,Accra,31181428,137,227540,7.946527,-1.023194
Greece,Europe,Athens,10413936,81,128900,39.074208,21.824312
Grenada,North America,Saint George’s,112614,331,340,12.262776,-61.604171
Guatemala,North America,Guatemala City,17971382,167,107160,15.783471,-90.230759
Guinea,Africa,Conakry,13191279,53,245720,9.945587,-9.696645
Guinea-Bissau,Africa,Bissau,1975718,70,28120,11.803749,-15.180413
Guyana,South America,Georgetown,787215,4,196850,4.860416,-58.93018
Haiti,North America,Port au Prince,11426356,414,27560,18.971187,-72.285215
Honduras,North America,Tegucigalpa,9931333,89,111890,15.199999,-86.241905
Hungary,Europe,Budapest,9655983,107,90530,47.162494,19.503304
Iceland,Europe,Reykjavík,341628,3,100250,64.963051,-19.020835
India,Asia,New Delhi,1382345085,464,2973190,20.593684,78.96288
Indonesia,Asia,Jakarta,274021604,151,1811570,-0.789275,113.921327
Iran,Asia,Tehran,84176929,52,1628550,32.427908,53.688046
Iraq,Asia,Baghdad,40372771,93,434320,33.223191,43.679291
Ireland,Europe,Dublin,4947267,72,68890,53.41291,-8.24389
Israel,Asia,Jerusalem,8678517,400,21640,31.046051,34.851612
Italy,Europe,Rome,60446035,206,294140,41.87194,12.56738
Ivory Coast,Africa,Yamoussoukro,26486282,83,318000,7.539989,-5.54708
Jamaica,North America,Kingston,2963429,273,10830,18.109581,-77.297508
